"Treatment","Day","emmean","SE","df","lower.CL","upper.CL",".group"
"Ambient","-28",3.50698437137484,0.261890703088047,7.5945323236253,2.89740469590943,4.11656404684025,"       78"
"N","-28",3.66128482929364,0.173179461103709,13.9579017483462,3.28974669892868,4.03282295965861,"        8"
"N+P","-28",3.52110819052018,0.217848945394482,9.2783498582359,3.03054409906691,4.01167228197346,"        8"
"Ambient","28",3.61861014136429,0.262612827891784,7.68186345390883,3.00863050738188,4.22858977534669,"        8"
"N","28",2.60917166985579,0.171417128388091,13.598854285639,2.24049842735342,2.97784491235816,"      67 "
"N+P","28",3.0046888391446,0.216456523861986,9.09216127912919,2.51578571057959,3.49359196770961,"      678"
"Ambient","62",3.48930905819813,0.26261574676164,7.68177889557564,2.87932142058635,4.09929669580991,"       78"
"N","62",1.65594240156311,0.171417128388092,13.598854285639,1.28726915906074,2.02461564406548,"    45   "
"N+P","62",1.6633895126655,0.217582654795531,9.25946887068081,1.17327783311216,2.15350119221884,"   345   "
"Ambient","75",3.35071514060563,0.261890703088164,7.59453232362588,2.74113546513995,3.9602948160713,"       78"
"N","75",0.975752671718205,0.178028995724325,15.1720273936999,0.596667240254411,1.354838103182,"  23     "
"N+P","75",1.23605105112704,0.217582654795532,9.25946887068079,0.745939371573701,1.72616273068038,"  234    "
"Ambient","91",2.33938580863706,0.267946551439832,8.3424270173337,1.72588684120279,2.95288477607133,"     56  "
"N","91",0.505671582911377,0.210633592403675,27.9037112542288,0.0741411418580279,0.937202023964726,"  2      "
"N+P","91",0.989111906373837,0.231358790912709,11.8416927447302,0.484275976062265,1.49394783668541,"  234    "
"Ambient","100",1.60263268363706,0.267946551439842,8.34242701733361,0.989133716202767,2.21613165107136,"   34    "
"N","100",-0.628231904764646,0.248543976740144,45.5402451966218,-1.12866131464744,-0.127802494881855," 1       "
"N+P","100",-0.816109145092295,0.273507654999027,20.9377308527395,-1.38500246938391,-0.247215820800677," 1       "
